embedding,reduction,algo,k,params,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise,noise_rate,silhouette_core,davies_bouldin_core,calinski_harabasz_core,n_labeled,score_for_rank
all-MiniLM-L6-v2,none,Spectral,20.0,"{'n_clusters': 20, 'affinity': 'nearest_neighbors'}",-0.02803066372871399,1.5004161167626946,59.259334564208984,20.0,0.0,0.0,,,,,-0.02803066372871399
all-MiniLM-L6-v2,none,GMM,20.0,{'n_components': 20},0.037145864218473434,3.884563181059092,304.25341796875,20.0,0.0,0.0,,,,,0.037145864218473434
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.3, 'min_samples': 5}",-0.06623558700084686,1.0357129288812619,21.82124900817871,108.0,18288.0,0.9144,0.681731104850769,0.554299250299232,379.0155029296875,1712.0,0.681731104850769
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.3, 'min_samples': 10}",-0.05509120970964432,1.0650920581454248,40.16387939453125,41.0,18774.0,0.9387,0.706806480884552,0.5656616996954335,722.329345703125,1226.0,0.706806480884552
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.3, 'min_samples': 20}",-0.02119738794863224,1.0569548567340885,65.5973892211914,18.0,19115.0,0.95575,0.7467897534370422,0.5432152995676022,1349.3779296875,885.0,0.7467897534370422
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.5, 'min_samples': 5}",-0.10071384161710739,1.3070311379039805,21.815725326538086,174.0,16863.0,0.84315,0.47076383233070374,0.8916141236564875,83.6262435913086,3137.0,0.47076383233070374
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.5, 'min_samples': 10}",-0.05041767656803131,1.276962910862599,47.378665924072266,56.0,17705.0,0.88525,0.4790987968444824,0.8076237006489931,174.6658172607422,2295.0,0.4790987968444824
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.5, 'min_samples': 20}",-0.04645157605409622,1.3003420743002274,86.6634750366211,22.0,18283.0,0.91415,0.48169809579849243,0.80042680015011,309.02752685546875,1717.0,0.48169809579849243
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.8, 'min_samples': 5}",-0.02452363818883896,1.9378650683355556,18.419286727905273,23.0,2544.0,0.1272,-0.01482679508626461,1.3159505717830655,10.523637771606445,17456.0,-0.01482679508626461
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.8, 'min_samples': 10}",0.0508328340947628,3.3549288448598538,77.05696868896484,4.0,2905.0,0.14525,0.08453506976366043,1.0424584902537033,22.723297119140625,17095.0,0.08453506976366043
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 0.8, 'min_samples': 20}",0.06574059277772903,6.378682632061701,293.51666259765625,1.0,3363.0,0.16815,,,,16637.0,
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 1.0, 'min_samples': 5}",0.16963759064674377,3.3596937451509796,21.24742889404297,1.0,50.0,0.0025,,,,19950.0,
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 1.0, 'min_samples': 10}",0.1709246039390564,3.337139984511482,25.001230239868164,1.0,58.0,0.0029,,,,19942.0,
all-MiniLM-L6-v2,none,DBSCAN,,"{'eps': 1.0, 'min_samples': 20}",0.1749839335680008,3.219299980320454,32.831092834472656,1.0,71.0,0.00355,,,,19929.0,
all-MiniLM-L6-v2,none,HDBSCAN,,{'min_cluster_size': 5},-0.10075987875461578,1.4937922867709081,14.63785457611084,307.0,16069.0,0.80345,0.43693527579307556,1.1792375398910597,60.728515625,3931.0,0.43693527579307556
all-MiniLM-L6-v2,none,HDBSCAN,,{'min_cluster_size': 10},-0.09684255719184875,1.4656758043251328,36.79353332519531,83.0,17201.0,0.86005,0.44181305170059204,1.0768073773883602,131.55096435546875,2799.0,0.44181305170059204
all-MiniLM-L6-v2,none,HDBSCAN,,{'min_cluster_size': 20},-0.09794006496667862,1.5263510149148325,67.01209259033203,34.0,17683.0,0.88415,0.4128434956073761,1.0169723036341434,208.305419921875,2317.0,0.4128434956073761
all-MiniLM-L6-v2,none,HDBSCAN,,{'min_cluster_size': 30},-0.08027911186218262,1.8214635504233523,131.2244873046875,15.0,17777.0,0.88885,0.3957512676715851,1.2141232611926076,320.7626953125,2223.0,0.3957512676715851
all-MiniLM-L6-v2,none,HDBSCAN,,{'min_cluster_size': 50},-0.07719064503908157,1.6950049315029687,158.78013610839844,11.0,18110.0,0.9055,0.4492970108985901,0.9425069492427379,472.1247863769531,1890.0,0.4492970108985901
all-MiniLM-L6-v2,pca,KMeans,4.0,{'n_clusters': 4},0.09394968301057816,3.2113198103595204,1443.1204833984375,4.0,0.0,0.0,,,,,0.09394968301057816
